jawOpen,mouthSmileLeft,mouthSmileRight,mouthPucker,mouthPressLeft,mouthPressRight,mouthFunnel,browInnerUp,browDownLeft,browDownRight,browOuterUpLeft,browOuterUpRight,eyeBlinkLeft,eyeBlinkRight,eyeSquintLeft,eyeSquintRight,cheekPuff
0.000180895411176607,0.0028875090647488832,0.00298036215826869,0.05871807411313057,0.03294161707162857,0.03204886242747307,0.0013718080008402467,0.37437671422958374,0.0005327739054337144,0.0004964523832313716,0.5312870740890503,0.4026133418083191,0.028411250561475754,0.01625487580895424,0.06554142385721207,0.04492538049817085,5.392505045165308e-06
0.008257734589278698,0.7088758945465088,0.6612181663513184,0.04733366519212723,0.02415330521762371,0.025645937770605087,0.025446368381381035,0.4103241264820099,0.0034970815759152174,0.0035717429127544165,0.10109344869852066,0.12509098649024963,0.42865481972694397,0.4707956612110138,0.6172934770584106,0.31420525908470154,0.0003748457820620388
0.0030860695987939835,8.95580742508173e-05,9.925545600708574e-05,0.25679078698158264,0.036726925522089005,0.03163580968976021,0.0019645884167402983,0.2589479088783264,0.015261385589838028,0.018055154010653496,0.27416008710861206,0.1158253625035286,0.07607899606227875,0.02526034414768219,0.13405463099479675,0.2517049312591553,7.050528438412584e-06
0.001017860253341496,0.016854362562298775,0.010433288291096687,0.006716983858495951,0.10076513141393661,0.056772179901599884,0.0012063661124557257,0.017654871568083763,0.025623086839914322,0.05097055807709694,0.10689966380596161,0.036036308854818344,0.02244836464524269,0.05435563996434212,0.1576896756887436,0.3285517990589142,1.908893682411872e-05
0.04789913445711136,0.4659438729286194,0.372037798166275,0.0053426423110067844,0.1434103101491928,0.07116610556840897,0.0035822081845253706,0.2906115651130676,0.005621846299618483,0.007558675017207861,0.24452203512191772,0.19101177155971527,0.08808335661888123,0.0251400675624609,0.4333718717098236,0.30830246210098267,0.0003098950255662203
0.008032730780541897,0.00019480366609059274,0.00013349624350667,0.5946497917175293,0.010939458385109901,0.005802042782306671,0.1251317709684372,0.31954577565193176,0.02569742687046528,0.007862466387450695,0.08198109269142151,0.18822625279426575,0.031223516911268234,0.01181288156658411,0.13737277686595917,0.12820908427238464,4.085524778929539e-05
0.39529573917388916,0.001249993802048266,0.0006583663634955883,0.03457777202129364,0.006874213460832834,0.002617109566926956,0.0250278078019619,0.7861678600311279,3.8694222894264385e-05,3.9757349441060796e-05,0.7748682498931885,0.7910387516021729,0.00800132192671299,0.0056699966080486774,0.157184898853302,0.03804634511470795,0.0001581906108185649
0.0032561076804995537,0.01143933366984129,0.006327971816062927,0.049121350049972534,0.1073007881641388,0.012491152621805668,0.002577920677140355,0.006116020958870649,0.05661239102482796,0.08288803696632385,0.07375288754701614,0.04085024073719978,0.032471414655447006,0.009810155257582664,0.14539407193660736,0.0873456820845604,1.569709274917841e-05
0.0002962953585665673,0.031654804944992065,0.06943369656801224,0.014395665377378464,0.039502885192632675,0.07288924604654312,0.0010161340469494462,0.05840423330664635,0.038628239184617996,0.13643281161785126,0.08862654864788055,0.019591718912124634,0.11824943125247955,0.09189236909151077,0.3387369215488434,0.16064076125621796,7.51492098061135e-06
0.015716901049017906,0.8318445682525635,0.8528628349304199,0.0017292620614171028,0.057840608060359955,0.12046846747398376,0.011035150848329067,0.006534941960126162,0.16677266359329224,0.14202898740768433,0.0180821493268013,0.011963583528995514,0.27957916259765625,0.19495978951454163,0.4917328655719757,0.4238605797290802,0.0006734687485732138
