path,p_photo,reaches_gate
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/1.jpg,0.747301,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10.jpg,0.854916,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/100.jpg,0.600218,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/1000.jpg,0.709976,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10000.jpg,0.866575,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10001.jpg,0.723632,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10002.jpg,0.643212,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10003.jpg,0.291655,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10004.jpg,0.795739,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10005.jpg,0.952780,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10006.jpg,0.776294,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10007.jpg,0.937536,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10008.jpg,0.890364,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10009.jpg,0.923460,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/1001.jpg,0.802423,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10010.jpg,0.954702,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10011.jpg,0.892411,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10012.jpg,0.895128,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10013.jpg,0.524789,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10014.jpg,0.318238,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10015.jpg,0.964407,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10016.jpg,0.840757,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10017.jpg,0.856780,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10018.jpg,0.921902,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10019.jpg,0.823681,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/1002.jpg,0.930154,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10020.jpg,0.777153,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10021.jpg,0.824111,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10022.jpg,0.809899,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10023.jpg,0.973492,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10024.jpg,0.854482,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10025.jpg,0.480555,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10026.jpg,0.856945,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10027.jpg,0.903573,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10028.jpg,0.877535,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10029.jpg,0.731833,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/1003.jpg,0.635612,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10030.jpg,0.883643,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10031.jpg,0.858669,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10032.jpg,0.628542,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10033.jpg,0.847152,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10034.jpg,0.393971,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10035.jpg,0.900300,1
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10036.jpg,0.734870,0
/home/tr3x/Projects/glow-mark/datasets/FairFace/val/10037.jpg,0.896244,1
