region,gender,feature,p20,p80,mu,sigma,n,gate_version,feature_contract_version
Black,female,beauty_score_raw,30.742983627319337,55.75457534790039,43.44185655214544,14.316787351975329,2494,n2367_pose1668,v1
Black,female,brow_height_ratio,0.13935124115981448,0.17052347241449242,0.15481150230461846,0.01812090339408238,2494,n2367_pose1668,v1
Black,female,brow_tilt_deg,-1.271551158819551,1.1915335234249695,-0.039913577768022096,1.6192141072631883,2494,n2367_pose1668,v1
Black,female,cheekbone_width_ratio,0.9799092678661726,0.9940684564205509,0.9871097810021353,0.008413080333818084,2494,n2367_pose1668,v1
Black,female,chin_width_ratio,0.3101018672546537,0.34456975944158474,0.32808648400578594,0.021539392612937882,2494,n2367_pose1668,v1
Black,female,eye_openness_ratio,0.24410693488128057,0.3781370321880602,0.311030273379394,0.08321057228646814,2494,n2367_pose1668,v1
Black,female,eye_size_ratio,0.18473007897145402,0.2170359578070369,0.20035544011791995,0.020060268471994984,2494,n2367_pose1668,v1
Black,female,eye_spacing_ratio,1.1625987011087962,1.4017834627655765,1.2857449379091195,0.14866621326228127,2494,n2367_pose1668,v1
Black,female,eye_tilt_deg,-0.6860867153432931,0.7265833183011801,0.019107510401280864,1.0076466906321702,2494,n2367_pose1668,v1
Black,female,face_aspect_ratio,0.8149995507094294,0.903244683641818,0.8606030853413617,0.05351478041722175,2494,n2367_pose1668,v1
Black,female,jaw_angle_sharpness,103.69494082886138,112.83265034204075,108.12146425191258,5.468699929404585,2494,n2367_pose1668,v1
Black,female,jaw_width_ratio,0.7745766442443601,0.8158657582399006,0.7956229004539157,0.02497209736611496,2494,n2367_pose1668,v1
Black,female,lip_thickness_ratio,0.007350630762957939,0.08710470545374824,0.05201091481223782,0.041056209370368586,2494,n2367_pose1668,v1
Black,female,lower_cheek_ratio,0.870670103944443,0.9049739587939797,0.8877608573665317,0.020835868878540383,2494,n2367_pose1668,v1
Black,female,lowerface_length_ratio,0.45286517586132724,0.5371284722925155,0.49494988707465537,0.048407905360130725,2494,n2367_pose1668,v1
Black,female,midface_length_ratio,0.15200554532204746,0.22544647035549673,0.18892803189943974,0.04236318055646927,2494,n2367_pose1668,v1
Black,female,mouth_corner_tilt_deg,-1.2153190951784203,1.1167637294487207,-0.04313144435129485,1.5542250620693632,2494,n2367_pose1668,v1
Black,female,mouth_width_ratio,0.36617537795253274,0.47372080241903375,0.4188490092459689,0.056476755218299944,2494,n2367_pose1668,v1
Black,female,nose_length_ratio,0.14824709474159437,0.18519332214813403,0.16655177313325187,0.021171378400781638,2494,n2367_pose1668,v1
Black,female,nose_tip_deviation_ratio,0.0508858907814157,0.28097010356163005,0.16704949456960128,0.11808053298842656,2494,n2367_pose1668,v1
Black,female,nose_width_ratio,0.22057384604187624,0.24668783458453086,0.23404897833346247,0.015665970332182522,2494,n2367_pose1668,v1
Black,female,philtrum_ratio,0.06611445247203131,0.0943437902566517,0.08058514072703545,0.01651365948186078,2494,n2367_pose1668,v1
Black,female,symmetry_error,0.027229282756646475,0.1468481888373693,0.08805406624558328,0.06087850385133015,2494,n2367_pose1668,v1
Black,female,upper_lip_ratio,0.03254527035225246,0.04838426157780798,0.04078027301235367,0.009609002363002939,2494,n2367_pose1668,v1
Black,male,beauty_score_raw,27.848355102539063,53.50696640014649,41.02968698286729,14.69670078208631,2459,n2367_pose1668,v1
Black,male,brow_height_ratio,0.1319406041957888,0.16535542108232965,0.14875025912783033,0.01919627296277137,2459,n2367_pose1668,v1
Black,male,brow_tilt_deg,-1.157030890648323,1.3754938888510198,0.1240316835947308,1.6496975187308351,2459,n2367_pose1668,v1
Black,male,cheekbone_width_ratio,0.9803236154369588,0.9954914709212347,0.9879910528226523,0.009063360438639312,2459,n2367_pose1668,v1
Black,male,chin_width_ratio,0.3187219151991687,0.35710018724502723,0.33844459488877937,0.023826375604691218,2459,n2367_pose1668,v1
Black,male,eye_openness_ratio,0.2407247398523135,0.3764711532853284,0.3066934774594619,0.08570367241268752,2459,n2367_pose1668,v1
Black,male,eye_size_ratio,0.18438549211055535,0.21573915454055884,0.2000462162450051,0.019575494923364484,2459,n2367_pose1668,v1
Black,male,eye_spacing_ratio,1.166073558952399,1.4054820982004685,1.2894978352605686,0.1484883057069992,2459,n2367_pose1668,v1
Black,male,eye_tilt_deg,-0.7133920651720665,0.8517039801723477,0.06750176291494114,1.0763734881132248,2459,n2367_pose1668,v1
Black,male,face_aspect_ratio,0.8200921465045793,0.9119995077934693,0.8674217306438261,0.05646544649133076,2459,n2367_pose1668,v1
Black,male,jaw_angle_sharpness,103.61867375356502,113.16305450902736,108.27970650205779,5.7742300578934955,2459,n2367_pose1668,v1
Black,male,jaw_width_ratio,0.7771074192594879,0.8272277506621977,0.8026644474469161,0.029007093742518406,2459,n2367_pose1668,v1
Black,male,lip_thickness_ratio,0.005711071623713403,0.08427159255489587,0.04853872993344712,0.0426045172687775,2459,n2367_pose1668,v1
Black,male,lower_cheek_ratio,0.8717096703521469,0.9126743943062327,0.8925092676460634,0.024137079106675594,2459,n2367_pose1668,v1
Black,male,lowerface_length_ratio,0.4547107307166429,0.543380117591383,0.4994794222683239,0.05029858418599858,2459,n2367_pose1668,v1
Black,male,midface_length_ratio,0.15079492929707403,0.22673551512296936,0.1895313508011672,0.04346838632921711,2459,n2367_pose1668,v1
Black,male,mouth_corner_tilt_deg,-1.2702646126796087,1.1577437955226615,-0.061347822006237285,1.5355726471511653,2459,n2367_pose1668,v1
Black,male,mouth_width_ratio,0.3587991204126742,0.44852227944135636,0.4035287432798735,0.05156813746268388,2459,n2367_pose1668,v1
Black,male,nose_length_ratio,0.14906759778384743,0.18668259905363516,0.16770806776598426,0.021522667318300374,2459,n2367_pose1668,v1
Black,male,nose_tip_deviation_ratio,0.04393400734204373,0.2778377854348676,0.16084945782167065,0.12088898152144466,2459,n2367_pose1668,v1
Black,male,nose_width_ratio,0.22271841006172827,0.2515026788358536,0.23728084636945068,0.017113225244538365,2459,n2367_pose1668,v1
Black,male,philtrum_ratio,0.072255114240772,0.10009897396313396,0.08638873650789099,0.01642046978255069,2459,n2367_pose1668,v1
Black,male,symmetry_error,0.02409445196390152,0.14900407493114473,0.08697911102354519,0.06391763030026096,2459,n2367_pose1668,v1
Black,male,upper_lip_ratio,0.03334902424048249,0.04968494176930844,0.04178558046064189,0.009635944938025703,2459,n2367_pose1668,v1
Black,pooled,beauty_score_raw,29.2956693649292,54.63077087402344,42.235771767506364,14.558033778215599,4953,n2367_pose1668,v1
Black,pooled,brow_height_ratio,0.13564592267780162,0.16793944674841105,0.1517808807162244,0.01891075580064123,4953,n2367_pose1668,v1
Black,pooled,brow_tilt_deg,-1.214291024733937,1.2835137061379946,0.04205905291335435,1.6365810784725041,4953,n2367_pose1668,v1
Black,pooled,cheekbone_width_ratio,0.9801164416515658,0.9947799636708927,0.9875504169123939,0.00875536244693943,4953,n2367_pose1668,v1
Black,pooled,chin_width_ratio,0.3144118912269112,0.350834973343306,0.33326553944728265,0.023294707973296105,4953,n2367_pose1668,v1
Black,pooled,eye_openness_ratio,0.24241583736679703,0.3773040927366943,0.30886187541942794,0.08449414981135789,4953,n2367_pose1668,v1
Black,pooled,eye_size_ratio,0.1845577855410047,0.21638755617379787,0.2002008281814625,0.01981996698237634,4953,n2367_pose1668,v1
Black,pooled,eye_spacing_ratio,1.1643361300305974,1.4036327804830226,1.287621386584844,0.14858913489341483,4953,n2367_pose1668,v1
Black,pooled,eye_tilt_deg,-0.6997393902576798,0.7891436492367638,0.043304636658111004,1.0428573106837704,4953,n2367_pose1668,v1
Black,pooled,face_aspect_ratio,0.8175458486070044,0.9076220957176436,0.8640124079925939,0.05511544852602168,4953,n2367_pose1668,v1
Black,pooled,jaw_angle_sharpness,103.6568072912132,112.99785242553406,108.20058537698519,5.624096904580141,4953,n2367_pose1668,v1
Black,pooled,jaw_width_ratio,0.775842031751924,0.8215467544510491,0.7991436739504159,0.027292937055924938,4953,n2367_pose1668,v1
Black,pooled,lip_thickness_ratio,0.006530851193335671,0.08568814900432206,0.05027482237284247,0.04187353133833682,4953,n2367_pose1668,v1
Black,pooled,lower_cheek_ratio,0.8711898871482949,0.9088241765501062,0.8901350625062976,0.02267163116999579,4953,n2367_pose1668,v1
Black,pooled,lowerface_length_ratio,0.4537879532889851,0.5402542949419493,0.4972146546714896,0.04941422475870052,4953,n2367_pose1668,v1
Black,pooled,midface_length_ratio,0.15140023730956076,0.22609099273923305,0.18922969135030349,0.04292040117342023,4953,n2367_pose1668,v1
Black,pooled,mouth_corner_tilt_deg,-1.2427918539290146,1.137253762485691,-0.052239633178766065,1.5449538531054556,4953,n2367_pose1668,v1
Black,pooled,mouth_width_ratio,0.36248724918260344,0.4611215409301951,0.4111888762629212,0.054618000494314985,4953,n2367_pose1668,v1
Black,pooled,nose_length_ratio,0.1486573462627209,0.18593796060088458,0.16712992044961805,0.02135557281510105,4953,n2367_pose1668,v1
Black,pooled,nose_tip_deviation_ratio,0.04740994906172971,0.2794039444982488,0.16394947619563596,0.11953321369385357,4953,n2367_pose1668,v1
Black,pooled,nose_width_ratio,0.22164612805180225,0.24909525671019223,0.2356649123514566,0.01648495663051825,4953,n2367_pose1668,v1
Black,pooled,philtrum_ratio,0.06918478335640166,0.09722138210989283,0.08348693861746322,0.016720849849159752,4953,n2367_pose1668,v1
Black,pooled,symmetry_error,0.025661867360273996,0.14792613188425702,0.08751658863456424,0.06241888119288085,4953,n2367_pose1668,v1
Black,pooled,upper_lip_ratio,0.032947147296367475,0.049034601673558206,0.04128292673649778,0.009635602804019363,4953,n2367_pose1668,v1
East Asian,female,beauty_score_raw,30.628670501708985,56.17594375610353,43.650599578955976,14.447178175768716,2632,n2367_pose1668,v1
East Asian,female,brow_height_ratio,0.1389899307644738,0.16560602703598995,0.15239929977282463,0.015499056385315645,2632,n2367_pose1668,v1
East Asian,female,brow_tilt_deg,-1.19513636735611,1.282616793425817,0.05166202733191619,1.6704909998139235,2632,n2367_pose1668,v1
East Asian,female,cheekbone_width_ratio,0.9823052870671078,0.9964625560313803,0.9892567891465207,0.008601530295181828,2632,n2367_pose1668,v1
East Asian,female,chin_width_ratio,0.30202196994706315,0.3348524563677387,0.3192164991927397,0.020778594382872047,2632,n2367_pose1668,v1
East Asian,female,eye_openness_ratio,0.23644395472340632,0.37470903785469933,0.3038545159300425,0.08619123898711498,2632,n2367_pose1668,v1
East Asian,female,eye_size_ratio,0.1731417345636248,0.2044482453284904,0.18884400001996343,0.018511178661639052,2632,n2367_pose1668,v1
East Asian,female,eye_spacing_ratio,1.2361368890073512,1.4824542134697507,1.3611775035596512,0.147918703048551,2632,n2367_pose1668,v1
East Asian,female,eye_tilt_deg,-0.6144855286967824,0.7873412802575765,0.07312202924629464,0.9544476350331076,2632,n2367_pose1668,v1
East Asian,female,face_aspect_ratio,0.8185444527724173,0.9146261959880785,0.8678059458418502,0.05957418154629765,2632,n2367_pose1668,v1
East Asian,female,jaw_angle_sharpness,103.94931282344723,112.82993204649694,108.35698077530996,5.5741666749766114,2632,n2367_pose1668,v1
East Asian,female,jaw_width_ratio,0.7778229427340158,0.8190162475069908,0.7985012850802622,0.02509374081164428,2632,n2367_pose1668,v1
East Asian,female,lip_thickness_ratio,0.0031512255890066326,0.08016821986176825,0.044349046229945545,0.0387267896936404,2632,n2367_pose1668,v1
East Asian,female,lower_cheek_ratio,0.8737571748856895,0.9081079683437945,0.8908788931811321,0.021001948280563797,2632,n2367_pose1668,v1
East Asian,female,lowerface_length_ratio,0.4392618690691577,0.5113140535704588,0.47677690685620755,0.04356748998881386,2632,n2367_pose1668,v1
East Asian,female,midface_length_ratio,0.1807298731702353,0.24131224438136525,0.21039172413930135,0.03748666368487711,2632,n2367_pose1668,v1
East Asian,female,mouth_corner_tilt_deg,-1.2730561774860094,1.2035399615931475,-0.029278942344369358,1.642750494039108,2632,n2367_pose1668,v1
East Asian,female,mouth_width_ratio,0.33197503775598264,0.42742931866693074,0.3799060073193006,0.05095482565599109,2632,n2367_pose1668,v1
East Asian,female,nose_length_ratio,0.15654827392062862,0.18965322208505744,0.17301989614405314,0.01948085293928082,2632,n2367_pose1668,v1
East Asian,female,nose_tip_deviation_ratio,0.03971917851670586,0.26452634401497604,0.15330686611426295,0.11674420446057684,2632,n2367_pose1668,v1
East Asian,female,nose_width_ratio,0.20325147722915454,0.22657461368012152,0.2150560380305004,0.013875353143475969,2632,n2367_pose1668,v1
East Asian,female,philtrum_ratio,0.06747110557131773,0.09114124409948274,0.07938463509443343,0.013964720886066637,2632,n2367_pose1668,v1
East Asian,female,symmetry_error,0.02230809032917023,0.1446969419717789,0.08422528081993443,0.062171083161206876,2632,n2367_pose1668,v1
East Asian,female,upper_lip_ratio,0.030191068050178953,0.04390684695340301,0.037218749842721784,0.007985055744519411,2632,n2367_pose1668,v1
