sample_id,image_path,feature_contract_version,yaw_deg,pitch_deg,symmetry_error,face_aspect_ratio,midface_length_ratio,lowerface_length_ratio,jaw_width_ratio,jaw_angle_sharpness,chin_length_ratio,chin_width_ratio,cheekbone_width_ratio,lower_cheek_ratio,eye_openness_ratio,eye_size_ratio,eye_spacing_ratio,eye_tilt_deg,brow_height_ratio,brow_tilt_deg,nose_width_ratio,nose_length_ratio,nose_tip_deviation_ratio,mouth_width_ratio,mouth_corner_tilt_deg,lip_thickness_ratio,upper_lip_ratio,philtrum_ratio
lfw_00003,data/raw/images/lfw_00003.jpg,v1,6.8351562805473804,-5.396109613585671,0.02233620484670003,0.8195551956055965,0.27164683163130476,0.4248452656854834,0.8088972117256357,113.55106628357056,0.4248452656854834,0.32593979921180855,0.9870450779103134,0.8979159103615256,0.3429919337771848,0.2026245343421104,1.1442879499544925,1.0630202210196058,0.11738552705600054,1.3833494123908492,0.2099123415670021,0.21323799009238398,0.048652611795133076,0.3485754983617951,0.10108791223616587,0.0003621416719687722,0.02615662374291295,0.09351406277410754
lfw_00006,data/raw/images/lfw_00006.jpg,v1,2.2930368650704622,-12.232596314177355,0.005705485741297404,0.8411859972739849,0.24179515426277695,0.4450434911193872,0.8071366148463995,109.02388975147072,0.4450434911193872,0.31393126018736345,0.9894697643944206,0.9014686371028254,0.2835564933061935,0.1959300970376277,1.2068626219737064,-0.1990357890974384,0.12139782076263886,0.22893290057143154,0.21780714690165287,0.2034763311216215,0.016439110919214874,0.42601433202665606,-1.5525160427620992,0.030396913612132273,0.022968401644041465,0.0708026423972657
lfw_00017,data/raw/images/lfw_00017.jpg,v1,13.758846916258335,-6.694512994462666,0.033747851848602295,0.8318045147230462,0.2720892950062822,0.4386829019765019,0.8183049241828667,114.40457793786807,0.4386829019765019,0.34898302053369246,0.9900827467250994,0.9046073593407,0.309472519897912,0.22113465413568578,1.1677135341933509,-1.5976144039761058,0.11363186021503358,-1.152362689566601,0.24743323140179155,0.2066923105377091,0.0962225718467339,0.3967141407219329,-0.691044770769783,0.008732969171208499,0.03087423288900497,0.09148798320390902
lfw_00064,data/raw/images/lfw_00064.jpg,v1,-0.8194493958726525,-12.575346566381175,0.009233370423316956,0.8426193868240346,0.2550695527042364,0.47341642996954747,0.8482901866408312,113.10961811428257,0.47341642996954747,0.3737911947922709,0.9963549901071689,0.9285173271130944,0.29482982066318286,0.1991703588057336,1.223794516354586,-5.34114369522185,0.1220295958250245,-6.048872527369473,0.22841382153971132,0.20648867402261045,0.005172781703659372,0.3674915019931196,-2.754751282921567,0.013889854454108782,0.02966976974676008,0.08121312704042007
lfw_00068,data/raw/images/lfw_00068.jpg,v1,-9.52059269696474,-8.900307413344681,0.023818021019299824,0.859669651575566,0.25440784827062674,0.43215384067082585,0.7931282520736713,110.5033000905773,0.43215384067082585,0.3202935549634985,0.9832419001645969,0.8830687060873328,0.3253707020533147,0.19611860189143043,1.2868389266965676,0.5131682895531358,0.09735018967480581,-0.2861047194028587,0.21596581966576447,0.1961756006495658,0.06717912392465877,0.33733208926436925,1.2184763051596679,0.006867415994067325,0.028822037914480812,0.08727497248177644
lfw_00070,data/raw/images/lfw_00070.jpg,v1,10.679429031908512,-11.985278841143792,0.02965553104877472,0.8256833962892638,0.24503075361546417,0.4482928820148042,0.8120242317531607,112.12473926977802,0.4482928820148042,0.33177143638737033,0.9895537996008249,0.9025625736832859,0.25959657541086584,0.20204209218909738,1.2290176662459122,-0.10949103228603634,0.11088716600671206,0.3305363452690215,0.23988417856334301,0.20036000287854935,0.07630083527994246,0.4050772107673629,-0.613490945701479,0.011366750779480468,0.030279321357664025,0.09151601879987026
lfw_00074,data/raw/images/lfw_00074.jpg,v1,3.859642831608653,-9.75450096948904,0.007533560196558635,0.7588333114702187,0.251634567420201,0.4362524457591969,0.7878563740166721,115.7550204844892,0.4362524457591969,0.3191520605283509,0.985276127958701,0.8827411609168592,0.37253447555157587,0.20189692699598807,1.196006160006989,-1.7517608482238283,0.11873054147264442,-1.201885827820159,0.20842720106874907,0.2031009826642346,0.027130395290926847,0.3063227239789231,-3.8356912399807426,0.015410291343324757,0.0358453801776969,0.0976394020158209
lfw_00098,data/raw/images/lfw_00098.jpg,v1,7.209478430449963,-1.418510129825001,0.025413761536280315,0.9165652577513922,0.28112267459442464,0.4010163282918387,0.7777806477707181,108.72510320038465,0.4010163282918387,0.3117852794515087,0.9789361745909363,0.8701181683435187,0.27202848956499737,0.21088419141290168,1.2201812912981571,-1.050231237011376,0.11092102843282316,-0.6715656465063254,0.2198447224096988,0.20872762419023078,0.051834399583589784,0.33302218981696685,0.11485636978472118,0.009157473120914611,0.0288859470556921,0.08699441523215098
lfw_00099,data/raw/images/lfw_00099.jpg,v1,13.290244080126286,-13.789387988880328,0.031429807345072426,0.807765737952997,0.23629547626325842,0.45182656785839226,0.7944597392750561,113.16675363076394,0.45182656785839226,0.32111654085466407,0.986963370096643,0.8900403381837462,0.1999527775134191,0.21314134176928248,1.2347630231216045,-2.4291876940008588,0.13064547513083138,-1.972902528132483,0.23684280477069872,0.19466986524982174,0.09219872464773964,0.4667353243535184,-1.252543366367803,0.09238058887395141,0.023700728250047123,0.055881498308839025
lfw_00103,data/raw/images/lfw_00103.jpg,v1,-6.8156682550907135,-14.146556515432218,0.024230236808458965,0.7943953494624145,0.23177199115424404,0.4471000135371167,0.8067298441465995,110.7179234215146,0.4471000135371167,0.3139457987039027,0.9920591803548285,0.9027560859200355,0.271520352833897,0.1936387210012715,1.2908353410857654,-1.7262463373979475,0.1374997320898716,-2.8640716014836562,0.23316158596699144,0.2031963708227368,0.04989753086812651,0.4530578756093611,1.0605250145546898,0.03474810524949874,0.025904278044807844,0.06267672134581738
