path,human_score,ethnicity,sex,source,raw,raw_double_cropped,z
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/pexels-kaone-makoko-3785991.jpg,4.777777777777778,Black,female,original,76.368408203125,89.4053726196289,2.3445911003925644
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/force-majeure-a5-_X8IktJg-unsplash.jpg,5.947368421052632,Black,female,original,66.66083526611328,55.930320739746094,1.6777721408474935
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/brian-lundquist-bf6ZtR545rU-unsplash.jpg,5.990931832395248,Black,male,original,25.77050018310547,22.892393112182617,-1.131009299417842
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/filipp-romanovskij-H4q-AEA02rY-unsplash.jpg,3.0,Black,male,original,14.789246559143066,15.237869262695312,-1.8853181429922103
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/woman-5932291_1920.jpg,4.901234567901235,Black,female,original,41.14604568481445,31.359228134155273,-0.07485393283827697
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/jd-mason-4eRATsC7zTY-unsplash.jpg,6.118181818181818,Black,female,original,48.102447509765625,49.174407958984375,0.40298544649882945
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/pexels-areous-ahmad-2122949.jpg,7.098765432098765,Black,male,original,31.043338775634766,24.893680572509766,-0.7688148799750538
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/wadi-lissa-PnCTTH_mmYg-unsplash.jpg,5.211538461538461,Black,female,original,57.12919616699219,53.74433517456055,1.0230381812805032
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/annie-spratt-QdK6aujOLYs-unsplash.jpg,3.975206611570248,Black,male,original,27.54823112487793,27.362998962402344,-1.0088959035530358
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/morgan-vander-hart-GVB-E8mr4Xk-unsplash.jpg,5.159801136363636,Black,male,original,53.33108901977539,45.97527313232422,0.762143942052935
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/woman-659348_1920.jpg,6.589285714285714,Black,female,original,68.81287384033203,72.11627197265625,1.8255969506400787
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/woman-868521_1920.jpg,5.464285714285714,Black,female,original,44.8944206237793,41.510475158691406,0.1826241714215064
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/ebony-1643426_1920.jpg,3.4267939814814814,Black,female,original,36.989158630371094,38.568206787109375,-0.36039297731169045
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/angry-boy-3740043_1920.jpg,3.9491869918699183,Black,male,original,27.646657943725586,21.137041091918945,-1.002134906817684
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/clem-onojeghuo-1qyw0De2XC8-unsplash.jpg,4.2903476907109495,Black,male,original,24.056594848632812,20.26182746887207,-1.2487384763508778
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/guy-615808_1920.jpg,5.086970474967908,Black,male,original,51.981170654296875,45.60383987426758,0.6694172465359545
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/african-american-2751286_1920.jpg,4.753289473684211,Black,male,original,32.5643424987793,35.380859375,-0.6643362294707161
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/leilani-angel-K84vnnzxmTQ-unsplash.jpg,5.357007575757575,Black,male,original,62.3221549987793,36.50416946411133,1.3797456124418297
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/rui-silvestre-hAMJpesMeDE-unsplash.jpg,5.455208333333334,Black,male,original,32.9044303894043,30.90125274658203,-0.6409753899640857
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/raphael-lovaski-3cbvEhhQspg-unsplash.jpg,7.035714285714286,Black,female,original,39.56787872314453,38.80927658081055,-0.18325916020019345
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/kelly-fournier-rPykmpWcL5s-unsplash.jpg,5.0476190476190474,Black,female,original,41.57532501220703,34.488651275634766,-0.04536648048499664
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/streegar-bORAYzcoJ8A-unsplash.jpg,4.447089947089947,Black,male,original,30.217023849487305,29.34558868408203,-0.8255749437814688
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/keitravis-squire-0YgjYyptKlU-unsplash.jpg,5.6775,Black,male,original,35.06224060058594,37.27030563354492,-0.49275412299528987
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/pexels-dellon-thomas-1405963.jpg,7.25,Black,male,original,38.61476135253906,35.72328186035156,-0.24872935934423568
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/pexels-ezekixl-akinnewu-950243.jpg,5.777777777777778,Black,female,original,22.833715438842773,25.91059684753418,-1.3327387904331225
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/humphrey-muleba-72QxUqXuXz8-unsplash.jpg,4.0821759259259265,Black,male,original,30.859066009521484,32.639949798583984,-0.7814726858931185
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/smile-2072908_1920.jpg,6.6871921182266005,Black,female,original,78.9780044555664,81.85871887207031,2.523845819278185
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/pexels-tom-leishman-5255326.jpg,3.666666666666667,Black,male,original,27.089506149291992,23.09393310546875,-1.040405994996316
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/african-american-1180847_1920.jpg,4.736732570239334,Black,female,original,45.8821907043457,39.31073760986328,0.2504746858257585
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/male/black/mbusowethu-radebe-CS2uCrpNzJY-unsplash.jpg,5.131578947368421,Black,male,original,33.86421585083008,27.306917190551758,-0.5750471556951153
/home/tr3x/Projects/glow-mark/datasets/MEBeauty-database/original_images/female/black/david-todd-mccarty-e17ti0-AYoA-unsplash.jpg,6.350877192982456,Black,female,original,32.92131423950195,35.350608825683594,-0.639815628257603
